;;;;;;;;;;;;;;;
BALANCE GENERAL;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Productos En Proceso;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
Productos Terminados;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
M/Cías No Fabricadas Por La Emp;-;-;-;-;-;575,94;-;-;-;-;-;-;-;-;-
Materiales, Repuestos y Accesorios;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
Otros Inventarios y Provisiones;1.788,73;1.659,50;1.120,64;1.410,26;821,32;0;-;-;-;-;-;-;-;-;-
SUBTOTAL INVENTARIOS;1.788,73;1.659,50;1.120,64;1.410,26;821,32;575,94;-;-;-;-;-;-;-;-;-
Gastos Pagados Por Anticipado;-;-;-;-;-;3,98;-;-;-;-;-;-;-;-;-
Cargos Diferidos;-;-;-;-;-;484,1;-;-;-;-;-;-;-;-;-
Amortización Acumulada y Otros;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
SUBTOTAL DIFERIDO;-;-;-;-;-;488,08;-;-;-;-;-;-;-;-;-
TOTAL ACTIVO CORRIENTE;26.427,47;27.744,67;10.480,31;12.687,21;6.193,30;4.033,03;-;-;-;-;-;-;-;-;-
Inversiones LP;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-
Activos biológicos no corrientes;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-
CxC comerciales y otras CxC no corrientes;0;0;0;3.647,60;7.537,88;-;-;-;-;-;-;-;-;-;-
Subtotal Deudores A Largo Plazo;0;0;0;3.647,60;7.537,88;0;-;-;-;-;-;-;-;-;-
Propiedades Planta Y Equipo;16.070,15;12.089,21;6.401,96;3.611,21;2.251,14;1.658,69;-;-;-;-;-;-;-;-;-
Plusvalía;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-
Activos intangibles distintos de la plusvalía;248,11;459,1;472,56;504,73;443,22;-;-;-;-;-;-;-;-;-;-
Subtotal Intangibles;248,11;459,1;472,56;504,73;443,22;0;-;-;-;-;-;-;-;-;-
Subtotal Diferidos;696,89;206,98;136,75;988,18;119,03;0;-;-;-;-;-;-;-;-;-
Inventarios no corrientes;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-
Activos por impuestos corrientes, no corriente;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-
Otros activos no financieros no corrientes;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-
Activos LP pignorados como garantía para Vender;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-
Subtotal Otros Activos;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-
De Inversiones Y Otros;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
De Propiedades Planta Y Equipo;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
Subtotal Valorizaciones;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
TOTAL ACTIVO NO CORRIENTE;17.015,15;12.755,29;7.011,26;8.751,72;10.351,27;1.658,69;-;-;-;-;-;-;-;-;-
TOTAL ACTIVO;43.442,62;40.499,96;17.491,57;21.438,93;16.544,56;5.691,71;-;-;-;-;-;-;-;-;-
Obligaciones Financieras;20,77;584,13;443,18;47,31;0;10,96;-;-;-;-;-;-;-;-;-
Proveedores CP;429,34;1.220,31;420,78;778,26;327,53;6,94;-;-;-;-;-;-;-;-;-
Costos y Gastos Por Pagar;1.050,38;-;-;849,65;-;167,16;-;-;-;-;-;-;-;-;-
Retención En La Fuente;-;-;-;-;-;25,83;-;-;-;-;-;-;-;-;-
Deudas Con Accionistas O Socios;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
Impuesto A Las Ventas Retenido;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
Impuesto De Industria y Comercio Retenido;-;-;-;-;-;4,17;-;-;-;-;-;-;-;-;-
Provisiones, Retenciones y Aportes de Nómina;-;2.642,63;1.854,44;1.425,03;0;78,75;-;-;-;-;-;-;-;-;-
Otras provisiones corrientes;0;955,94;0;99,5;0;-;-;-;-;-;-;-;-;-;-
Acreedores;-;-;-;-;-;96,94;-;-;-;-;-;-;-;-;-
Otras Cuenta Por Pagar;-;3.609,10;1.592,64;0;1.106,33;0;-;-;-;-;-;-;-;-;-
SUBTOTAL CUENTAS POR PAGAR;1.050,38;7.207,66;3.447,08;2.374,18;1.106,33;372,84;-;-;-;-;-;-;-;-;-
IMPUESTOS GRAVAMENES Y TASAS;2.051,09;2.202,95;0;0;753,1;326,63;-;-;-;-;-;-;-;-;-
OBLIGACIONES LABORALES;3.637,65;-;-;-;-;669,4;-;-;-;-;-;-;-;-;-
SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;2.883,53;-;-;-;-;0;-;-;-;-;-;-;-;-;-
DIFERIDOS;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
Anticipos y Avances Recibidos;-;-;-;-;-;3.343,87;-;-;-;-;-;-;-;-;-
Otros;0;-;-;-;-;3,6;-;-;-;-;-;-;-;-;-
SUBTOTAL OTROS PASIVOS;0;-;-;-;-;3.347,47;-;-;-;-;-;-;-;-;-
SUBTOTAL BONOS Y PAPELES COMERCIA.;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
TOTAL PASIVO CORRIENTE;10.072,75;11.215,04;4.311,04;3.199,75;2.186,96;4.734,24;-;-;-;-;-;-;-;-;-
Obligaciones Financieras;6.282,44;1.474,58;1.469,24;0;0;0;-;-;-;-;-;-;-;-;-
Proveedores LP;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-
Subtotal Cuentas Por Pagar;0;0;0;-;0;0;-;-;-;-;-;-;-;-;-
Impuestos Gravámenes y Tasas;0;23.177,47;0;0;0;0;-;-;-;-;-;-;-;-;-
Obligaciones Laborales;0;-;-;0;-;0;-;-;-;-;-;-;-;-;-
Subtotal Pasivos Estimad. y Provis.;-;-;-;0;-;0;-;-;-;-;-;-;-;-;-
Subtotal Diferidos;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-
Subtotal Otros Pasivos;18.774,75;0;9.610,35;16.461,87;13.136,36;0;-;-;-;-;-;-;-;-;-
Subtotal Bonos y Papeles Comercia.;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
TOTAL PASIVO NO CORRIENTE;25.057,20;24.652,04;11.079,59;16.461,87;13.136,36;0;-;-;-;-;-;-;-;-;-
TOTAL PASIVO;35.129,95;35.867,09;15.390,63;19.661,61;15.323,32;4.734,24;-;-;-;-;-;-;-;-;-
Capital Suscrito y Pagado;1.304,15;1.304,15;285;285;285;285;-;-;-;-;-;-;-;-;-
Prima de emisión;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-
Acciones propias en cartera;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-
Aportes Sociales y Otros;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
SUBTOTAL CAPITAL SOCIAL;1.304,15;1.304,15;285;285;285;285;-;-;-;-;-;-;-;-;-
SUBTOTAL SUPERAVIT DE CAPITAL;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-
RESERVAS;368,49;115,3;115,3;93,66;76,52;44,95;-;-;-;-;-;-;-;-;-
REVALORIZACION DEL PATRIMONIO;2.960,24;0;0;0;0;17,77;-;-;-;-;-;-;-;-;-
DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
RESULTADOS DEL EJERCICIO;-;-;-;-;-;315,65;-;-;-;-;-;-;-;-;-
RESULTADOS DE EJERCICIOS ANTERIORES;3.679,80;3.213,43;1.700,65;1.398,65;859,72;294,11;-;-;-;-;-;-;-;-;-
SUPERAVIT POR VALORIZACIONES;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-
INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-
TOTAL PATRIMONIO;8.312,67;4.632,88;2.100,94;1.777,31;1.221,24;957,48;-;-;-;-;-;-;-;-;-
TOTAL PASIVO Y PATRIMONIO;43.442,62;40.499,96;17.491,57;21.438,93;16.544,56;5.691,71;-;-;-;-;-;-;-;-;-
