;;;;;;;;;;;;;;;
BALANCE GENERAL;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Otros Inventarios y Provisiones;6.157,42;7.629,46;-;6.798,51;4.921,50;-;-;-;0;0;2,81;11,15;14,66;20,36;30,58
SUBTOTAL INVENTARIOS;6.157,42;7.629,46;-;6.798,51;4.921,50;-;-;-;1.854,82;1.409,24;1.283,67;1.694,17;1.970,45;1.653,55;1.440,74
Gastos Pagados Por Anticipado;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
Cargos Diferidos;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
Amortización Acumulada y Otros;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
SUBTOTAL DIFERIDO;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
TOTAL ACTIVO CORRIENTE;13.105,91;14.161,28;-;16.290,91;14.635,90;-;-;-;6.511,35;5.414,69;4.382,83;4.068,10;4.737,04;5.440,15;5.515,45
Inversiones LP;0;0;-;0;0;-;-;-;1,59;1,59;1,59;0;1,59;1,76;0
Activos biológicos no corrientes;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
CxC comerciales y otras CxC no corrientes;442,3;961,59;-;807,73;203,75;-;-;-;-;-;-;-;-;-;-
Subtotal Deudores A Largo Plazo;442,3;961,59;-;807,73;203,75;-;-;-;231,71;416,37;1.611,70;1.644,44;1.239,53;0;0
Propiedades Planta Y Equipo;18.247,48;17.026,10;-;15.673,98;2.819,21;-;-;-;1.234,35;767,49;496,75;276,04;406,61;589;782,32
Plusvalía;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
Activos intangibles distintos de la plusvalía;0;0;-;218,4;411,82;-;-;-;-;-;-;-;-;-;-
Subtotal Intangibles;0;0;-;218,4;411,82;-;-;-;121,93;1.524,99;1.522,15;1.512,32;1.510,43;1.510,43;1.510,43
Subtotal Diferidos;0;20,75;-;449,45;134,47;-;-;-;0;0;0;0;0;0;0
Inventarios no corrientes;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
Activos por impuestos corrientes, no corriente;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
Otros activos no financieros no corrientes;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
Activos LP pignorados como garantía para Vender;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
Subtotal Otros Activos;0;0;-;0;0;-;-;-;0;0;0;0;0;0;0
De Inversiones Y Otros;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
De Propiedades Planta Y Equipo;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
Subtotal Valorizaciones;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
TOTAL ACTIVO NO CORRIENTE;18.689,78;18.008,44;-;17.149,56;3.569,25;-;-;-;1.589,58;2.710,43;3.632,19;3.432,79;3.158,15;2.101,19;2.292,76
TOTAL ACTIVO;31.795,69;32.169,73;-;33.440,47;18.205,15;-;-;-;8.100,94;8.125,11;8.015,02;7.500,89;7.895,19;7.541,34;7.808,21
Obligaciones Financieras;1.265,64;1.445,02;-;2.777,95;3,57;-;-;-;17,79;781,87;518,73;288,64;271,06;548,38;478,36
Proveedores CP;6.152,65;6.710,49;-;5.737,17;6.529,72;-;-;-;3.455,36;1.851,00;1.486,97;1.492,37;1.335,05;746,6;1.103,53
Costos y Gastos Por Pagar;0;-;-;252;-;-;-;-;465,55;167,71;113,04;137,17;79,46;166,54;170,63
Retención En La Fuente;-;-;-;-;-;-;-;-;72,87;15,91;11,66;11,15;17,8;30,31;10,97
Deudas Con Accionistas O Socios;-;-;-;-;-;-;-;-;12,76;0;66,58;0;0;0;0
Impuesto A Las Ventas Retenido;-;-;-;-;-;-;-;-;0;1,43;0,12;0,08;0;0;0
Impuesto De Industria y Comercio Retenido;-;-;-;-;-;-;-;-;12,96;0,91;0,69;0,66;0,53;2,37;2,1
Provisiones, Retenciones y Aportes de Nómina;-;484,27;-;84,57;63,09;-;-;-;90,9;81;73,72;64,85;54,24;44,58;36,89
Otras provisiones corrientes;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
Acreedores;-;-;-;-;-;-;-;-;54,92;111,81;96,36;44,87;271,06;357,49;303,96
Otras Cuenta Por Pagar;-;143;-;0;94,69;-;-;-;0;0;0;0;0;0;0
SUBTOTAL CUENTAS POR PAGAR;0;627,27;-;336,56;157,78;-;-;-;709,95;378,77;362,18;258,79;423,09;601,3;524,55
IMPUESTOS GRAVAMENES Y TASAS;2.432,78;3.130,41;-;2.403,00;2.144,62;-;-;-;453,28;408,57;563,16;530,33;497,65;663,56;231,26
OBLIGACIONES LABORALES;167,27;-;-;-;-;-;-;-;12,19;6,62;8,03;1,21;107,14;112,9;30,96
SUBTOTAL PASIVOS ESTIMAD. Y PROVIS.;0;-;-;-;-;-;-;-;96,77;75,25;52,93;16,3;31,39;33,79;47,09
DIFERIDOS;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
Anticipos y Avances Recibidos;-;-;-;-;-;-;-;-;0;0;40,82;15,84;0;0;0
Otros;709,4;-;-;-;-;-;-;-;0;0;0;0;66,64;0;0
SUBTOTAL OTROS PASIVOS;709,4;-;-;-;-;-;-;-;0;0;40,82;15,84;66,64;0;0
SUBTOTAL BONOS Y PAPELES COMERCIA.;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
TOTAL PASIVO CORRIENTE;10.727,73;11.913,20;-;11.254,68;8.835,69;-;-;-;4.745,33;3.502,08;3.032,82;2.603,49;2.732,04;2.706,51;2.415,74
Obligaciones Financieras;13.719,12;12.597,87;-;13.244,39;1.852,97;-;-;-;8,74;0;0;0;0;0;0
Proveedores LP;0;0;-;641,4;897,43;-;-;-;0;0;0;0;0;0;0
Subtotal Cuentas Por Pagar;0;336,3;-;-;8,94;-;-;-;0;0;0;0;0;0;0
Impuestos Gravámenes y Tasas;1.917,11;0;-;0;0;-;-;-;0;0;0;0;0;0;0
Obligaciones Laborales;0;-;-;0;-;-;-;-;0;0;0;0;0;0;0
Subtotal Pasivos Estimad. y Provis.;-;-;-;2,68;-;-;-;-;0;0;0;0;0;0;0
Subtotal Diferidos;65,37;0;-;514,21;199,23;-;-;-;0;0;0;0;0;0;0
Subtotal Otros Pasivos;0;0;-;582,97;23,22;-;-;-;2.596,26;3.101,47;3.516,25;4.145,70;4.441,25;4.340,78;4.330,57
Subtotal Bonos y Papeles Comercia.;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
TOTAL PASIVO NO CORRIENTE;15.701,59;12.934,17;-;14.985,65;2.981,79;-;-;-;2.604,99;3.101,47;3.516,25;4.145,70;4.441,25;4.340,78;4.330,57
TOTAL PASIVO;26.429,33;24.847,37;-;26.240,33;11.817,48;-;-;-;7.350,32;6.603,55;6.549,07;6.749,19;7.173,28;7.047,29;6.746,30
Capital Suscrito y Pagado;2.862,00;2.862,00;-;2.862,00;862;-;-;-;0;0;0;0;0;0;0
Prima de emisión;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
Acciones propias en cartera;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
Aportes Sociales y Otros;-;-;-;-;-;-;-;-;862;862;862;862;862;862;862
SUBTOTAL CAPITAL SOCIAL;2.862,00;2.862,00;-;2.862,00;862;-;-;-;862;862;862;862;862;862;862
SUBTOTAL SUPERAVIT DE CAPITAL;0;0;-;0;0;-;-;-;0;1.200,00;0;1.200,00;1.200,00;1.200,00;1.200,00
RESERVAS;522,21;522,2;-;512,25;431;-;-;-;51,43;51,43;51,43;51,43;51,43;51,43;51,43
REVALORIZACION DEL PATRIMONIO;0;0;-;0;55,4;-;-;-;719,26;719,26;719,26;719,26;719,26;719,26;719,26
DIVIDEN. O PARTC. DECRET. EN ACC.O CUOTAS;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0
RESULTADOS DEL EJERCICIO;-;-;-;-;-;-;-;-;429,05;367,98;714,25;140,14;227,85;-567,86;229,88
RESULTADOS DE EJERCICIOS ANTERIORES;1.982,16;3.938,15;-;3.825,89;5.039,27;-;-;-;-1.311,13;-1.679,11;-2.081,00;-2.221,13;-2.338,64;-1.770,79;-2.000,67
SUPERAVIT POR VALORIZACIONES;-;-;-;-;-;-;-;-;0;0;1.200,00;0;0;0;0
INVERSIÓN SUPLEMENTARIA AL CAPITAL Y AJUSTES AÑOS ANTERIORES;0;0;-;0;0;-;-;-;-;-;-;-;-;-;-
TOTAL PATRIMONIO;5.366,37;7.322,36;-;7.200,14;6.387,67;-;-;-;750,62;1.521,57;1.465,95;751,7;721,9;494,05;1.061,91
TOTAL PASIVO Y PATRIMONIO;31.795,69;32.169,73;-;33.440,47;18.205,15;-;-;-;8.100,94;8.125,11;8.015,02;7.500,89;7.895,19;7.541,34;7.808,21
